Time;Free Memory;CPU Usage;Drive Space;Number of Data Files;Temperatur 1;Temperatur 2;Temperatur 3;Logging Status
2023.03.22 01:48:00;4603904.000000;37.625951;37.006874;2315;50.312500;42.500000;44.187500;3
2023.03.22 01:50:01;5492736.000000;58.857791;37.001532;2316;50.375000;42.500000;44.125000;3
2023.03.22 01:52:00;6053888.000000;43.140854;36.995575;2316;50.500000;42.437500;44.187500;3
2023.03.22 01:54:00;4452352.000000;55.974920;36.990234;2316;50.125000;42.437500;44.062500;3
2023.03.22 01:56:01;4026368.000000;51.048783;36.984893;2316;50.250000;42.375000;43.937500;3
2023.03.22 01:58:01;4300800.000000;61.405913;36.979655;2316;50.125000;42.312500;43.937500;3
2023.03.22 02:00:00;5484544.000000;59.382050;36.974313;2317;50.187500;42.312500;43.875000;3
2023.03.22 02:02:00;5984256.000000;44.285474;36.968356;2317;50.187500;42.250000;43.812500;3
2023.03.22 02:04:00;4276224.000000;44.392240;36.963015;2317;50.000000;42.250000;43.937500;3
2023.03.22 02:06:01;4595712.000000;71.530621;36.957674;2317;50.125000;42.187500;43.875000;3
2023.03.22 02:08:01;5611520.000000;67.943050;36.952436;2317;50.062500;42.125000;43.750000;3
2023.03.22 02:10:00;3928064.000000;55.256201;36.947094;2318;49.937500;42.125000;43.687500;3
2023.03.22 02:12:01;6111232.000000;50.973529;36.941137;2318;50.062500;42.125000;43.750000;3
2023.03.22 02:14:00;4554752.000000;75.051990;36.935796;2318;50.000000;42.062500;43.687500;3
2023.03.22 02:16:00;4079616.000000;51.812488;36.930455;2318;49.875000;42.062500;43.687500;3
2023.03.22 02:18:01;4612096.000000;50.658204;36.925217;2318;49.937500;42.000000;43.687500;3
2023.03.22 02:20:00;4190208.000000;56.800555;36.919875;2319;49.875000;42.000000;43.562500;3
2023.03.22 02:22:00;6500352.000000;50.765151;36.913918;2319;49.812500;42.000000;43.562500;3
2023.03.22 02:24:00;4698112.000000;32.129260;36.908577;2319;49.812500;42.000000;43.562500;3
2023.03.22 02:26:01;4341760.000000;63.095660;36.903236;2319;49.812500;42.000000;43.625000;3
2023.03.22 02:28:01;4730880.000000;49.717937;36.897998;2319;49.750000;41.937500;43.625000;3
2023.03.22 02:30:00;4857856.000000;52.224734;36.892656;2320;50.000000;42.000000;43.625000;3
2023.03.22 02:32:01;5492736.000000;63.576951;36.886699;2320;49.875000;42.000000;43.750000;3
2023.03.22 02:34:01;4706304.000000;44.870252;36.881358;2320;49.875000;42.000000;43.625000;3
2023.03.22 02:36:01;4214784.000000;62.685737;36.876017;2320;49.937500;42.000000;43.687500;3
2023.03.22 02:38:01;3833856.000000;38.961011;36.870778;2320;49.875000;42.000000;43.687500;3
2023.03.22 02:40:01;5713920.000000;60.663102;36.865437;2321;49.750000;42.000000;43.625000;3
2023.03.22 02:42:00;6643712.000000;51.512388;36.859480;2321;49.812500;42.000000;43.625000;3
2023.03.22 02:44:00;5087232.000000;54.038849;36.854139;2321;49.812500;41.937500;43.625000;3
2023.03.22 02:46:00;4427776.000000;76.139169;36.848798;2321;50.000000;41.937500;43.687500;3
2023.03.22 02:48:00;4096000.000000;57.885991;36.843559;2321;49.812500;41.937500;43.687500;3
2023.03.22 02:50:00;5832704.000000;58.597234;36.838218;2322;49.812500;41.937500;43.625000;3
2023.03.22 02:52:00;5492736.000000;40.476140;36.832261;2322;49.812500;41.937500;43.562500;3
2023.03.22 02:54:00;3723264.000000;55.862117;36.826920;2322;49.812500;41.937500;43.750000;3
2023.03.22 02:56:00;5619712.000000;36.739313;36.821579;2322;49.750000;41.937500;43.562500;3
2023.03.22 02:58:01;3842048.000000;54.260168;36.816340;2322;49.812500;41.875000;43.500000;3
2023.03.22 03:00:01;4825088.000000;63.098585;36.810999;2323;49.812500;41.875000;43.562500;3
2023.03.22 03:02:01;5754880.000000;45.225757;36.805042;2323;49.750000;41.875000;43.562500;3
2023.03.22 03:04:01;3706880.000000;51.390250;36.799701;2323;49.812500;41.875000;43.437500;3
2023.03.22 03:06:00;5672960.000000;58.206363;36.794360;2323;49.687500;41.875000;43.562500;3
