Time;Free Memory;CPU Usage;Drive Space;Number of Data Files;Temperatur 1;Temperatur 2;Temperatur 3;Logging Status
2023.03.23 00:00:01;4313088.000000;54.189991;33.381198;2449;49.125000;41.187500;42.750000;3
2023.03.23 00:02:01;5709824.000000;55.507098;33.375035;2449;49.062500;41.187500;42.750000;3
2023.03.23 00:04:00;6004736.000000;55.052442;37.289643;2305;49.062500;41.187500;42.812500;3
2023.03.23 00:06:01;4345856.000000;55.528770;37.284302;2305;49.000000;41.125000;42.812500;3
2023.03.23 00:08:00;3719168.000000;42.985776;37.279064;2305;48.937500;41.125000;42.750000;3
2023.03.23 00:10:00;4313088.000000;48.966722;37.273723;2305;48.812500;41.125000;42.812500;3
2023.03.23 00:12:00;6766592.000000;64.806007;37.267765;2306;49.125000;41.125000;42.812500;3
2023.03.23 00:14:01;4870144.000000;43.582020;37.262424;2306;48.937500;41.062500;42.687500;3
2023.03.23 00:16:01;4481024.000000;69.905766;37.257083;2306;48.875000;41.062500;42.687500;3
2023.03.23 00:18:00;5107712.000000;67.272068;37.251845;2306;49.000000;41.062500;42.687500;3
2023.03.23 00:20:00;4796416.000000;55.959329;37.246504;2307;48.937500;41.000000;42.687500;3
2023.03.23 00:22:00;6725632.000000;41.515426;37.240546;2307;48.875000;41.000000;42.625000;3
2023.03.23 00:24:01;4947968.000000;47.472431;37.235205;2307;48.937500;41.000000;42.687500;3
2023.03.23 00:26:00;4440064.000000;41.514856;37.229864;2307;48.812500;40.937500;42.562500;3
2023.03.23 00:28:00;4059136.000000;51.126193;37.224626;2307;48.625000;40.937500;42.562500;3
2023.03.23 00:30:00;4702208.000000;39.856206;37.219285;2307;48.625000;40.937500;42.687500;3
2023.03.23 00:32:00;6615040.000000;44.111269;37.213327;2308;48.750000;40.937500;42.562500;3
2023.03.23 00:34:00;4980736.000000;47.449079;37.207986;2308;48.687500;40.875000;42.562500;3
2023.03.23 00:36:01;4304896.000000;44.486874;37.202645;2308;48.750000;40.875000;42.500000;3
2023.03.23 00:38:00;4608000.000000;54.734761;37.197407;2308;48.750000;40.875000;42.562500;3
2023.03.23 00:40:00;5242880.000000;49.855855;37.192066;2308;48.687500;40.875000;42.500000;3
2023.03.23 00:42:00;6258688.000000;42.286304;37.186108;2309;48.812500;40.937500;42.562500;3
2023.03.23 00:44:01;4448256.000000;64.276997;37.180767;2309;48.687500;40.875000;42.562500;3
2023.03.23 00:46:00;5242880.000000;54.980643;37.175426;2309;48.562500;40.875000;42.500000;3
2023.03.23 00:48:01;4481024.000000;58.948794;37.170188;2309;48.875000;40.875000;42.500000;3
2023.03.23 00:50:00;4431872.000000;57.036921;37.164847;2310;48.687500;40.875000;42.500000;3
2023.03.23 00:52:00;6615040.000000;50.290171;37.158889;2310;48.812500;40.875000;42.562500;3
2023.03.23 00:54:01;5124096.000000;59.380690;37.153548;2310;48.812500;40.875000;42.500000;3
2023.03.23 00:56:01;5234688.000000;56.066440;37.148207;2310;48.812500;40.875000;42.562500;3
2023.03.23 00:58:00;5939200.000000;40.859144;37.142969;2310;48.750000;40.875000;42.562500;3
2023.03.23 01:00:00;4710400.000000;54.564009;37.137628;2311;48.750000;40.812500;42.437500;3
2023.03.23 01:02:00;5709824.000000;48.390060;37.131670;2311;48.687500;40.875000;42.562500;3
2023.03.23 01:04:01;4345856.000000;73.320645;37.126329;2311;48.625000;40.812500;42.437500;3
2023.03.23 01:06:01;3719168.000000;51.592770;37.120988;2311;48.625000;40.812500;42.437500;3
2023.03.23 01:08:00;4177920.000000;52.898524;37.115750;2311;48.562500;40.812500;42.437500;3
2023.03.23 01:10:01;4227072.000000;52.560519;37.110409;2312;48.750000;40.812500;42.500000;3
2023.03.23 01:12:00;7241728.000000;40.845108;37.104451;2312;48.625000;40.812500;42.375000;3
2023.03.23 01:14:01;5505024.000000;37.840803;37.099110;2312;48.687500;40.812500;42.375000;3
2023.03.23 01:16:00;3813376.000000;36.699873;37.093769;2312;48.625000;40.812500;42.437500;3
2023.03.23 01:18:00;4263936.000000;41.727043;37.088531;2312;48.500000;40.812500;42.437500;3
2023.03.23 01:20:00;3813376.000000;53.315143;37.083190;2313;48.687500;40.812500;42.500000;3
2023.03.23 01:22:00;5877760.000000;48.043189;37.077232;2313;48.687500;40.812500;42.500000;3
2023.03.23 01:24:00;4227072.000000;52.154931;37.071891;2313;48.625000;40.812500;42.562500;3
2023.03.23 01:26:01;4870144.000000;72.333122;37.066550;2313;48.687500;40.812500;42.437500;3
2023.03.23 01:28:00;5623808.000000;44.617268;37.061312;2313;48.625000;40.812500;42.500000;3
2023.03.23 01:30:01;3973120.000000;45.686244;37.055971;2314;48.812500;40.812500;42.500000;3
2023.03.23 01:32:01;6004736.000000;54.157148;37.050013;2314;48.625000;40.875000;42.500000;3
2023.03.23 01:34:00;4218880.000000;56.173992;37.044672;2314;48.687500;40.812500;42.625000;3
2023.03.23 01:36:00;4726784.000000;37.634105;37.039331;2314;48.500000;40.812500;42.562500;3
2023.03.23 01:38:01;4227072.000000;73.471344;37.033579;2314;48.687500;40.812500;42.437500;3
2023.03.23 01:40:00;5615616.000000;50.047192;37.028751;2315;48.687500;40.812500;42.437500;3
2023.03.23 01:42:01;5328896.000000;63.824097;37.022794;2315;48.625000;40.812500;42.500000;3
2023.03.23 01:44:00;4345856.000000;65.129616;37.017453;2315;48.625000;40.812500;42.437500;3
2023.03.23 01:46:00;4354048.000000;70.717393;37.012112;2315;48.625000;40.750000;42.375000;3
2023.03.23 01:48:01;3846144.000000;60.689693;37.006874;2315;48.625000;40.750000;42.437500;3
2023.03.23 01:50:00;4964352.000000;70.055046;37.001532;2316;48.500000;40.687500;42.312500;3
2023.03.23 01:52:00;5353472.000000;39.793251;36.995575;2316;48.375000;40.687500;42.375000;3
2023.03.23 01:54:00;3837952.000000;35.425050;36.990234;2316;48.312500;40.625000;42.187500;3
2023.03.23 01:56:01;4497408.000000;54.447403;36.984893;2316;48.375000;40.562500;42.250000;3
2023.03.23 01:58:00;3846144.000000;66.300694;36.979655;2316;48.312500;40.500000;42.125000;3
2023.03.23 02:00:00;4743168.000000;43.769215;36.974313;2316;48.187500;40.437500;42.062500;3
2023.03.23 02:02:00;6512640.000000;38.425758;36.968356;2317;48.062500;40.437500;42.125000;3
2023.03.23 02:04:01;4931584.000000;49.296642;36.963015;2317;48.187500;40.375000;42.000000;3
2023.03.23 02:06:00;4431872.000000;50.862740;36.957674;2317;48.000000;40.312500;42.000000;3
2023.03.23 02:08:00;4091904.000000;52.902048;36.952436;2317;48.000000;40.250000;41.937500;3
2023.03.23 02:10:01;4861952.000000;72.050111;36.947094;2318;48.125000;40.187500;41.875000;3
2023.03.23 02:12:01;6717440.000000;72.767522;36.941137;2318;48.000000;40.187500;41.875000;3
2023.03.23 02:14:00;4853760.000000;37.229318;36.935796;2318;48.000000;40.125000;41.812500;3
2023.03.23 02:16:00;5328896.000000;56.311437;36.930455;2318;48.000000;40.125000;41.875000;3
2023.03.23 02:18:00;4108288.000000;43.338259;36.925217;2318;48.000000;40.062500;41.875000;3
2023.03.23 02:20:01;4861952.000000;58.283587;36.919875;2319;47.937500;40.062500;41.562500;3
2023.03.23 02:22:00;5853184.000000;65.595809;36.913918;2319;47.812500;40.062500;41.750000;3
2023.03.23 02:24:00;4059136.000000;63.322379;36.908577;2319;47.875000;40.000000;41.750000;3
2023.03.23 02:26:00;4608000.000000;56.724718;36.903236;2319;47.812500;40.000000;41.687500;3
2023.03.23 02:28:00;4235264.000000;52.062050;36.897998;2319;47.812500;40.000000;41.625000;3
2023.03.23 02:30:00;5251072.000000;53.399711;36.892656;2319;47.812500;40.000000;41.625000;3
2023.03.23 02:32:00;5877760.000000;35.224348;36.886699;2320;47.875000;39.937500;41.687500;3
2023.03.23 02:34:00;4202496.000000;47.179729;36.881358;2320;47.750000;39.937500;41.625000;3
2023.03.23 02:36:00;4608000.000000;59.803969;36.876017;2320;47.875000;39.937500;41.625000;3
2023.03.23 02:38:00;4329472.000000;59.004710;36.870778;2320;47.875000;39.875000;41.562500;3
2023.03.23 02:40:00;3846144.000000;52.444945;36.865437;2321;47.750000;39.875000;41.625000;3
2023.03.23 02:42:01;6107136.000000;57.198894;36.859480;2321;47.687500;39.875000;41.500000;3
2023.03.23 02:44:01;4235264.000000;67.527124;36.854139;2321;47.687500;39.875000;41.437500;3
2023.03.23 02:46:01;4861952.000000;53.376789;36.848798;2321;47.687500;39.812500;41.562500;3
2023.03.23 02:48:00;4354048.000000;58.386770;36.843559;2321;47.687500;39.812500;41.500000;3
2023.03.23 02:50:00;4947968.000000;61.932767;36.838218;2322;47.687500;39.812500;41.375000;3
2023.03.23 02:52:01;5980160.000000;46.120759;36.832261;2322;47.750000;39.812500;41.437500;3
2023.03.23 02:54:01;4186112.000000;49.703385;36.826920;2322;47.687500;39.750000;41.500000;3
2023.03.23 02:56:00;3973120.000000;50.372306;36.821579;2322;47.687500;39.750000;41.437500;3
2023.03.23 02:58:01;4448256.000000;59.285670;36.816340;2322;47.687500;39.750000;41.375000;3
2023.03.23 03:00:01;4108288.000000;67.195489;36.810999;2323;47.687500;39.750000;41.375000;3
2023.03.23 03:02:00;6107136.000000;50.236833;36.805042;2323;47.500000;39.750000;41.375000;3
2023.03.23 03:04:00;4456448.000000;27.692579;36.799701;2323;47.500000;39.750000;41.437500;3
2023.03.23 03:06:01;3846144.000000;66.553950;36.794360;2323;47.625000;39.687500;41.437500;3
2023.03.23 03:08:00;5750784.000000;68.047838;36.789121;2323;47.625000;39.687500;41.437500;3
2023.03.23 03:10:00;4235264.000000;69.609299;36.783780;2324;47.625000;39.687500;41.437500;3
2023.03.23 03:12:00;6266880.000000;42.874066;36.777823;2324;47.437500;39.687500;41.500000;3
